"This quote is sponsored by Raid Shadow Legends."|| - Sun Tzu, The Art of Raid Shadow Legends
“These military devices leading to victory must not be divulged beforehand.”|| - Sun Tzu, The Art of War
“Therefore, the skillful leader subdues the enemy’s troops without any fighting; he captures their cities without laying siege to them; he overthrows their kingdom without lengthy operations in the field.”|| - Sun Tzu, The Art of War
“First, lay plans which will ensure victory, and then lead your army to battle; if you will not begin with stratagem but rely on brute strength alone, victory will no longer be assured.”|| - Sun Tzu, The Art of War
“If we wish to fight, the enemy can be forced to an engagement even though he is sheltered behind a high rampart and a deep ditch. All we need do is attack some other place that he will be obliged to relieve.”|| - Sun Tzu, The Art of War
“At first, then, exhibit the coyness of a maiden until the enemy gives you an opening. Afterwards, emulate the rapidity of a running hare, and it will be too late for the enemy to oppose you.”|| - Sun Tzu, The Art of War
“When an invading force crosses a river in its onward march, do not advance to meet it in mid-stream. It will be best to let half the army get across, and then deliver your attack.”|| - Sun Tzu, The Art of War
“On open ground, do not try to block the enemy’s way. On the ground of intersecting highways, join hands with your allies.”|| - Sun Tzu, The Art of War
“It is the rule in war, if our forces are ten to the enemy’s one, to surround him; if five to one, to attack him; if twice as numerous, to divide our army into two.”|| - Sun Tzu, The Art of War
“Hence, the skillful fighter puts himself into a position which makes defeat impossible, and does not miss the moment for defeating the enemy.”|| - Sun Tzu, The Art of War
“Water shapes its course according to the nature of the ground over which it flows; the soldier works out his victory in relation to the foe whom he is facing.”|| - Sun Tzu, The Art of War
“Knowledge of the enemy’s dispositions can only be obtained from other men.”|| - Sun Tzu, The Art of War
“Stir opponents up, making them respond to you; then you can observe their forms of behavior, and whether they are orderly or confused.”|| - Sun Tzu, The Art of War
“Weapons are inauspicious instruments, not the tools of the enlightened. When there is no choice but to use them, it is best to be calm and free from greed, and not celebrate victory. Those who celebrate victory are bloodthirsty, and the bloodthirsty cannot have their way with the world.”|| - Sun Tzu, The Art of War
“Violent language and driving forward as if to the attack are signs that he will retreat.”|| - Sun Tzu, The Art of War
“The quality of decision is like the well-timed swoop of a falcon which enables it to strike and destroy its victim.”|| - Sun Tzu, The Art of War
“Thus, the expert in battle moves the enemy, and is not moved by him.”|| - Sun Tzu, The Art of War
“There are roads which must not be followed, armies which must not be attacked, towns which must not be besieged, positions which must not be contested, commands of the sovereign which must not be obeyed.”|| - Sun Tzu, The Art of War
“Great results can be achieved with small forces.”|| - Sun Tzu, The Art of War
“If soldiers are punished before they have grown attached to you, they will not prove submissive; and unless submissive, then they will be practically useless. If, when the soldiers have become attached to you, punishments are not enforced, they will still be useless.”|| - Sun Tzu, The Art of War
“Move not unless you see an advantage; use not your troops unless there is something to be gained; fight not unless the position is critical.”|| - Sun Tzu, The Art of War
“Do not repeat the tactics which have gained you one victory, but let your methods be regulated by the infinite variety of circumstances.”|| - Sun Tzu, The Art of War
“It is only the enlightened ruler and the wise general who will use the highest intelligence of the army for the purposes of spying, and thereby they achieve great results.”|| - Sun Tzu, The Art of War
“Hence, a commander who advances without any thought of winning personal fame and withdraws in spite of certain punishment, whose only concern is to protect his people and promote the interests of his ruler, is the nation’s treasure.”|| - Sun Tzu, The Art of War
“If he is generous with them and yet they do not do as he tells them; if he loves them and yet they do not obey his commands; if he is so undisciplined with them that he cannot bring them into proper order, they will be like spoiled children who can be put to no good use at all.”|| - Sun Tzu, The Art of War
“If there is disturbance in the camp, the general’s authority is weak.”|| - Sun Tzu, The Art of War
“When the common soldiers are too strong and their officers too weak, the result is insubordination.”|| - Sun Tzu, The Art of War
“The good fighters of old first put themselves beyond the possibility of defeat, and then waited for an opportunity of defeating the enemy.”|| - Sun Tzu, The Art of War
“When the general is weak and without authority; when his orders are not clear and distinct; when there are no fixed duties assigned to officers and men, and the ranks are formed in a slovenly haphazard manner, the result is utter disorganization.”|| - Sun Tzu, The Art of War
“For the wise man delights in establishing his merit, the brave man likes to show his courage in action, the covetous man is quick at seizing advantages, and the stupid man has no fear of death.”|| - Sun Tzu, The Art of War
“It is best to keep one’s own state intact; to crush the enemy’s state is only second best.”|| - Sun Tzu, The Art of War
“The principle on which to manage an army is to set up one standard of courage which all must reach.”|| - Sun Tzu, The Art of War
“There are five dangerous faults which may affect a general—recklessness, which leads to destruction; cowardice, which leads to capture; a hasty temper, which can be provoked by insults; a delicacy of honor which is sensitive to shame; over-solicitude for his men, which exposes him to worry and trouble.”|| - Sun Tzu, The Art of War
“If you do not take opportunity to advance and reward the deserving, your subordinates will not carry out your commands, and disaster will ensue.”|| - Sun Tzu, The Art of War
“We are not fit to lead an army on the march unless we are familiar with the face of the country—its mountains and forests, its pitfalls and precipices, its marshes and swamps.”|| - Sun Tzu, The Art of War
“Thus, what enables the wise sovereign and the good general to strike and conquer, and achieve things beyond the reach of ordinary men, is foreknowledge.”|| - Sun Tzu, The Art of War
“A leader leads by example not by force.”|| - Sun Tzu, The Art of War
“Excessive rewards are a sign of desperation. Excessive punishments are a sign of exhaustion.”|| - Sun Tzu, The Art of War
“The general who wins a battle makes many calculations in his temple before the battle is fought. The general who loses a battle makes but few calculations.”|| - Sun Tzu, The Art of War
“By method and discipline are to be understood the marshaling of the army in its proper subdivisions, the graduations of rank among the officers, the maintenance of roads by which supplies may reach the army, and the control of military expenditure.”|| - Sun Tzu, The Art of War
“Hence, in the wise leader’s plans, considerations of advantage and of disadvantage will be blended together.”|| - Sun Tzu, The Art of War
“I have heard that the ancients used bows and arrows to their advantage.”|| - Sun Tzu, The Art of War
“The art of war teaches us to rely not on the likelihood of the enemy’s not coming, but on our own readiness to receive him; not on the chance of his not attacking, but rather on the fact that we have made our position unassailable.”|| - Sun Tzu, The Art of War
“The general, unable to control his irritation, will launch his men to the assault like swarming ants, with the result that one-third of his men are slain, while the town still remains untaken. Such are the disastrous effects of a siege.”|| - Sun Tzu, The Art of War
“Leadership is a matter of intelligence, trustworthiness, humaneness, courage, and sternness.”|| - Sun Tzu, The Art of War
“One mark of a great soldier is that he fights on his own terms or fights not at all.”|| - Sun Tzu, The Art of War
“What the ancients called a clever fighter is one who not only wins, but excels in winning with ease.”|| - Sun Tzu, The Art of War
“He who is prudent and lies in wait for an enemy who is not, will be victorious.”|| - Sun Tzu, The Art of War
“Knowing the enemy enables you to take the offensive; knowing yourself enables you to stand on the defensive.”|| - Sun Tzu, The Art of War
“He will win who, prepared himself and waits to take the enemy unprepared.”|| - Sun Tzu, The Art of War
“Conform to the enemy’s tactics until a favorable opportunity offers. Then, come forth and engage in a battle that shall prove decisive.”|| - Sun Tzu, The Art of War
“The opportunity of defeating the enemy is provided by the enemy himself.”|| - Sun Tzu, The Art of War
“The worst calamities that befall an army arise from hesitation.”|| - Sun Tzu, The Art of War
“You can be sure of succeeding in your attacks if you only attack places which are undefended.”|| - Sun Tzu, The Art of War
“You can ensure the safety of your defense if you only hold positions that cannot be attacked.”|| - Sun Tzu, The Art of War
“Whoever is first in the field and awaits the coming of the enemy, will be fresh for the fight; whoever is second in the field and has to hasten to battle will arrive exhausted.”|| - Sun Tzu, The Art of War
“Unhappy is the fate of one who tries to win his battles and succeed in his attacks without cultivating the spirit of enterprise; for the result is waste of time and general stagnation.”|| - Sun Tzu, The Art of War
“He who relies solely on warlike measures shall be exterminated; he who relies solely on peaceful measures shall perish.”|| - Sun Tzu, The Art of War
“So long as victory can be attained, stupid haste is preferable to clever dilatoriness.”|| - Sun Tzu, The Art of War
“Thus, it is that in war, the victorious strategist only seeks battle after the victory is won; whereas, he who is destined to defeat first fights and afterwards looks for victory.”|| - Sun Tzu, The Art of War
“To begin by bluster, but afterwards to take fright at the enemy’s numbers, shows a supreme lack of intelligence.”|| - Sun Tzu, The Art of War
“Those who are skilled in combat do not become angered, those who are skilled at winning do not become afraid. Thus, the wise win before they fight, while the ignorant fight to win.”|| - Sun Tzu, The Art of War
“He wins his battles by making no mistakes.”|| - Sun Tzu, The Art of War
“Making no mistakes is what establishes the certainty of victory, for it means conquering an enemy that is already defeated.”|| - Sun Tzu, The Art of War
“In war, practice dissimulation, and you will succeed.”|| - Sun Tzu, The Art of War
“When you engage in actual fighting, if victory is long in coming, then men’s weapons will grow dull and their ardour will be damped. If you lay siege to a town, you will exhaust your strength.”|| - Sun Tzu, The Art of War
“He who only sees the obvious, wins his battles with difficulty; he who looks below the surface of things, wins with ease.”|| - Sun Tzu, The Art of War
“There are three avenues of opportunity—events, trends, and conditions. When opportunities occur through events but you are unable to respond, you are not smart. When opportunities become active through a trend and yet you cannot make plans, you are not wise. When opportunities emerge through conditions but you cannot act on them, you are not bold.”|| - Sun Tzu, The Art of War
“The consummate leader cultivates the Moral Law, and strictly adheres to method and discipline; thus, it is in his power to control success.”|| - Sun Tzu, The Art of War
“Rapidity is the essence of war.”|| - Sun Tzu, The Art of War
“Prohibit omens altogether. You can best predict your future by controlling it yourself, not by trusting luck or fate to control it.”|| - Sun Tzu, The Art of War
“The difficulty of tactical maneuvering consists in turning the devious into the direct, and misfortune into gain.”|| - Sun Tzu, The Art of War
“The secret of getting successful work out of your trained men lies in one nutshell—in the clearness of the instructions they receive.”|| - Sun Tzu, The Art of War
“It is only one who is thoroughly acquainted with the evils of war that can thoroughly understand the profitable way of carrying it on.”|| - Sun Tzu, The Art of War
“Let your rapidity be that of the wind, your compactness that of the forest.”|| - Sun Tzu, The Art of War
“He who wishes to fight must first count the cost.”|| - Sun Tzu, The Art of War
“Anger may in time change to gladness; vexation may be succeeded by content. But a kingdom that has once been destroyed can never come again into being; nor can the dead ever be brought back to life.”|| - Sun Tzu, The Art of War
“It is easy to love your friend, but sometimes the hardest lesson to learn is to love your enemy.”|| - Sun Tzu, The Art of War
“Never venture, never win!”|| - Sun Tzu, The Art of War
“Rewards for good service should not be deferred a single day.”|| - Sun Tzu, The Art of War
“Therefore, just as water retains no constant shape, so in warfare there are no constant conditions.”|| - Sun Tzu, The Art of War
“If you fight with all your might, there is a chance of life; whereas, death is certain if you cling to your corner.”|| - Sun Tzu, The Art of War
“Conceal your dispositions, and your condition will remain secret, which leads to victory; show your dispositions, and your condition will become patent, which leads to defeat.”|| - Sun Tzu, The Art of War
“Success in warfare is gained by carefully accommodating ourselves to the enemy’s purpose.”|| - Sun Tzu, The Art of War
“When the outlook is bright, bring it before their eyes; but tell them nothing when the situation is gloomy.”|| - Sun Tzu, The Art of War
“We cannot enter into alliances until we are acquainted with the designs of our neighbors.”|| - Sun Tzu, The Art of War
“There are not more than five primary colors, yet in combination, they produce more hues than can ever been seen.”|| - Sun Tzu, The Art of War
“To lift an autumn hair is no sign of great strength; to see the sun and moon is no sign of sharp sight; to hear the noise of thunder is no sign of a quick ear.”|| - Sun Tzu, The Art of War
“No ruler should put troops into the field merely to gratify his own spleen; no general should fight a battle simply out of pique.”|| - Sun Tzu, The Art of War
“Standing on the defensive indicates insufficient strength; attacking, a superabundance of strength.”|| - Sun Tzu, The Art of War
“Be stern in the council-chamber. Show no weakness, and insist on your plans being ratified by the sovereign, so that you may control the situation.”|| - Sun Tzu, The Art of War
“All warfare is based on deception.”|| - Sun Tzu, The Art of War
“In difficult ground, press on; in encircled ground, devise stratagems; on death ground, fight.”|| - Sun Tzu, The Art of War
“The captured soldiers should be kindly treated and kept.”|| - Sun Tzu, The Art of War
“Opportunistic relationships can hardly be kept constant.”|| - Sun Tzu, The Art of War
“The rising of birds in their flight is the sign of an ambuscade. Startled beasts indicate that a sudden attack is coming.”|| - Sun Tzu, The Art of War
“A government should not mobilize an army out of anger, military leaders should not provoke war out of wrath. Act when it is beneficial to do so, desist if not.”|| - Sun Tzu, The Art of War
“Where there are repeated wars, the people are weakened; when they score repeated victories, rulers become haughty. Let haughty rulers command weakened people, and rare is the nation that will not perish as a result.”|| - Sun Tzu, The Art of War
“Some people think insufficiency means weakness and surplus means strength, but this impression is wrong.”|| - Sun Tzu, The Art of War
“There is no instance of a country having benefited from prolonged warfare.”|| - Sun Tzu, The Art of War
“Again, if the campaign is protracted, the resources of the state will not be equal to the strain.”|| - Sun Tzu, The Art of War
“The people being regarded as the essential part of the State, and food as the people’s heaven—is it not right that those in authority should value and be careful of both?”|| - Sun Tzu, The Art of War
“Neither is it the acme of excellence if you fight and conquer and the whole empire says, ‘Well done!’”|| - Sun Tzu, The Art of War
“It is better to recapture an army entire than to destroy it, to capture a regiment, a detachment or a company entire than to destroy them.”|| - Sun Tzu, The Art of War
“There are five things that hurt the people—there are local officials who use public office for personal benefit, taking improper advantage of their authority, holding weapons in one hand and people’s livelihood in the other, corrupting their offices, and bleeding the people.”|| - Sun Tzu, The Art of War
“The Way means inducing the people to have the same aim as the leadership.”|| - Sun Tzu, The Art of War
“One may know how to conquer without being able to do it.”|| - Sun Tzu, The Art of War
“Rouse him, and learn the principle of his activity or inactivity. Force him to reveal himself, so as to find out his vulnerable spots.”|| - Sun Tzu, The Art of War
“Ponder and deliberate before you make a move.”|| - Sun Tzu, The Art of War
“Bravery without forethought, causes a man to fight blindly and desperately like a mad bull. Such an opponent must not be encountered with brute force, but may be lured into an ambush and slain.”|| - Sun Tzu, The Art of War
“If ignorant both of your enemy and yourself, you are certain to be in peril.”|| - Sun Tzu, The Art of War
“Begin by seizing something which your opponent holds dear; then he will be amenable to your will.”|| - Sun Tzu, The Art of War
“Disorder came from order; fear came from courage; weakness came from strength.”|| - Sun Tzu, The Art of War
“Those skilled at making the enemy move do so by creating a situation to which he must conform; they entice him with something he is certain to take, and with lures of ostensible profit they await him in strength.”|| - Sun Tzu, The Art of War
“Foreknowledge cannot be gotten from ghosts and spirits, cannot be had by analogy, cannot be found out by calculation. It must be obtained from people, people who know the conditions of the enemy.”|| - Sun Tzu, The Art of War
“The end and aim of spying in all its five varieties is knowledge of the enemy; and this knowledge can only be derived, in the first instance, from the converted spy. Hence it is essential that the converted spy be treated with the utmost liberality.”|| - Sun Tzu, The Art of War
“Deep knowledge is to be aware of disturbance before disturbance, to be aware of danger before danger, to be aware of destruction before destruction, to be aware of calamity before calamity.”|| - Sun Tzu, The Art of War
“Whether in an advantageous position or a disadvantageous one, the opposite state should be always present to your mind.”|| - Sun Tzu, The Art of War
“It is the unemotional, reserved, calm, detached warrior who wins, not the hothead seeking vengeance and not the ambitious seeker of fortune.”|| - Sun Tzu, The Art of War
“Therefore, the clever combatant imposes his will on the enemy, but does not allow the enemy’s will to be imposed on him.”|| - Sun Tzu, The Art of War
“Thus, though we have heard of stupid haste in war, cleverness has never been seen associated with long delays.”|| - Sun Tzu, The Art of War
“Ground on which we can only be saved from destruction by fighting without delay is desperate ground.”|| - Sun Tzu, The Art of War
“The acquaintance of honorable people, even at a distance, does not add flowers in times of warmth and does not change its leaves in times of cold. It continues unfading through the four seasons, and becomes increasingly stable as it passes through ease and danger.”|| - Sun Tzu, The Art of War
“Life and death are of supreme importance. Time passes swiftly by and opportunity is lost. Each of us should strive to awaken, awaken. Awaken! Take heed. Do not squander your life.”|| - Sun Tzu, The Art of War
“The only chance of life lies in giving up all hope of it.”|| - Sun Tzu, The Art of War
“The true object of war is peace.”|| - Sun Tzu, The Art of War
“It is unlucky to be stubborn in the face of insurmountable odds.”|| - Sun Tzu, The Art of War
